"QBName","Team","Class","PRating","Completion","Yardage","Rush_Att","Pass_Att","Pass_Int","Fumbles","Pass_TDs","TDs","GamesPlayed"
"Justin Thomas","Georgia Tech","FR",86.8888888888889,53.3333333333333,50,30,15,2,4,1,3,6
"King Davis III","New Mexico State","FR",86.8604651162791,52,105,36,50,1,3,2,2,4
"Jimmy Laughrea","UC Davis","SO",86.8258064516129,48.1481481481481,174,4,27,2,1,1,1,1
"Austin Sumner","South Dakota State","JR",86.7,65.5172413793103,193,7,29,2,0,0,0,1
"A.J. Schurr","Army","SO",86.6222222222222,64.2857142857143,44,13,14,0,2,1,1,3
"De'Auntre Smiley","Prairie View A&M","JR",86.54,66.6666666666667,87,5,15,0,1,0,0,1
"Seth Lobato","Northern Colorado","SR",86.304,60.8695652173913,114,2,23,1,0,0,0,1
"David Vega","New Mexico","JR",86.1217391304348,55.5555555555556,45.6666666666667,14,9,0,0,1,1,3
"Todd Porter","Western Kentucky","FR",86.0727272727273,50,77,1,10,1,1,0,0,1
"Clayton Mitchem","New Mexico","JR",85.8969072164948,54.3859649122807,56.1111111111111,40,57,0,4,1,3,9
"Troy Mitchell","Western Carolina","SO",85.7230769230769,47.6190476190476,124,18,21,2,0,2,2,2
"Connor Reilly","Temple","JR",85.2461538461538,51.3513513513514,145.333333333333,34,148,2,3,2,3,6
"Mack Leftwich","UTEP","FR",84.96,62.962962962963,99,18,27,1,1,2,2,2
"Chad Kelly","Clemson","FR",84.8484848484848,58.8235294117647,35,16,17,0,1,0,1,5
"Jaleel Awini","Air Force","SO",84.8045977011494,50,123.75,45,42,1,2,0,4,4
"Tyler O'Connor","Michigan State","FR",84.4363636363636,64.2857142857143,38,8,14,0,0,0,0,3
"AJ Derby","Arkansas","JR",84.3333333333333,52.7777777777778,36,6,36,1,1,1,1,4
"Cody Keith","East Carolina","SO",84.2153846153846,63.6363636363636,23.5,2,11,0,0,0,0,2
"Mike Wegzyn","Massachusetts","SO",84.1066666666667,49.4736842105263,74.1111111111111,25,95,6,1,3,3,6
"Adam Schulz","Utah","SO",83.7234042553192,46.6666666666667,112.5,19,75,2,2,2,3,4
"Moses Skillon","Morgan State","FR",83.68,100,26,3,2,0,0,0,0,1
"Austin Apodaca","Washington State","FR",83.6489795918367,50,69,7,42,2,1,2,2,3
"Ryker Fyfe","Nebraska","FR",83.6,100,8,1,1,0,0,0,0,1
"Jake Heaps","Kansas","JR",83.5084337349398,50.2347417840376,117.111111111111,36,213,7,3,7,8,9
"Kameron Bryant","Appalachian State","SO",83.0636363636364,56.4102564102564,197,5,39,1,1,0,0,1
"Tyler Arndt","Texas State","SR",82.547572815534,55.5555555555556,115.25,22,81,1,1,0,1,4
"Kurt Hess","Youngstown State","SR",82.3866666666667,40.7407407407407,124,3,27,0,0,1,1,1
"John Loughery","Elon","FR",82.2,60,23,1,5,0,0,0,0,1
"Drew Allen","Syracuse","SR",82.1489051094891,55.7377049180328,95.1428571428571,15,122,9,1,2,2,7
"Caleb Berry","Lamar","JR",82.0645161290323,54.6666666666667,202.5,18,75,1,2,1,1,2
"Maikhail Miller","Murray State","SO",81.4541176470588,59.375,202,21,64,3,1,1,1,2
"Evan Ingram","Jackson State","JR",81.1,50,130,8,12,2,1,0,1,1
"Brandon Bridge","South Alabama","JR",80.898969072165,46.031746031746,79.7142857142857,34,63,2,0,1,2,7
"Cardale Jones","Ohio State","FR",80.5473684210526,50,43.6666666666667,17,2,0,0,0,1,3
"Vad Lee","Georgia Tech","SO",80.2871080139373,47.4452554744526,158.6,150,137,7,9,8,14,10
"Nick Mullens","Southern Mississippi","FR",79.9055555555556,44.7368421052632,152.714285714286,26,190,11,3,5,6,7
"D'Shaie Landor","Louisiana-Lafayette","FR",79.4,100,7,2,2,0,0,0,0,2
"Joseph Calcagni","Tulsa","SO",78.9647058823529,43.75,30.5,1,16,1,0,1,1,2
"Michael Cummings","Kansas","SO",78.6545454545455,75,14,7,4,0,2,1,1,1
"Nick Sherry","UNLV","SO",78.6112359550562,54.6666666666667,86.5,14,75,5,1,3,3,4
"Duke DeLancellotti","Texas State","SR",78.4,37.5,7.4,4,8,0,0,0,1,2
"Tim Byerly","Georgia Tech","SO",78.3076923076923,33.3333333333333,23.3333333333333,10,3,0,0,0,1,3
"Danny Etling","Purdue","FR",78.2102564102564,50.7936507936508,157.166666666667,45,189,6,4,5,6,6
"Brayle Brown","Louisiana-Monroe","SO",78.2014814814815,51.7543859649123,82.25,21,114,6,1,1,1,6
"Jared McClain","Eastern Kentucky","JR",77.95,61.5384615384615,112,11,13,1,1,1,1,1
"Jake Medlock","Florida International","SO",77.8616216216216,49.2753623188406,99,47,138,6,2,4,4,8
"John Gibbs, Jr.","Alcorn St.","SO",77.751724137931,44,122,4,25,1,0,1,1,1
"Blaire Sullivan","UTEP","SO",77.5137254901961,57.6923076923077,116,25,26,4,1,1,1,3
"Dane Evans","Tulsa","FR",77.3988023952096,42.2818791946309,126.5,18,149,7,1,4,5,6
"Charley Loeb","Syracuse","SR",77.3,66.6666666666667,8.66666666666667,2,6,0,0,0,0,2
"Kaleb Griffin","Presbyterian","SO",77.3,50,13,0,4,0,0,0,0,1
"Zach Adkins","Northwestern State","JR",77.1428571428571,57.8125,137.5,13,64,2,2,1,1,2
"Tyler Van Tubbergen","Western Michigan","SR",76.8844221105528,44.9438202247191,158.333333333333,21,178,10,2,4,4,6
"Greg Hankerson","Florida Atlantic","FR",76.3478260869565,47.8260869565217,95,23,92,3,3,3,3,5
"Kierra Harris","Missouri State","JR",76.3333333333333,46.6666666666667,145,6,30,1,0,1,1,1
"E.J. Hilliard","Florida International","SO",75.8268656716418,59.7938144329897,64,37,97,3,1,2,2,8
"Dylan Favre","Tennessee-Martin","JR",75.44,68,94.5,15,25,3,2,1,1,2
"Mike Quinn","Elon","JR",74.7466666666667,56.6666666666667,136,0,30,3,0,0,0,1
"Shane Morris","Michigan","FR",74.6181818181818,55.5555555555556,31,2,9,1,0,0,0,2
"Trenton Norvell","Western Illinois","FR",74.4594594594595,42.8571428571429,150,18,56,2,0,3,3,2
"Brady Attaway","Stephen F. Austin","SR",72.9692307692308,46.1538461538462,83,0,26,0,0,0,0,1
"C.J. Beathard","Iowa","FR",72.4888888888889,27.7777777777778,52.6666666666667,9,18,1,0,0,1,2
"Kelvin White","Army","SO",72.4214285714286,50,58.5,26,30,2,1,1,3,3
"Andrew McNulty","North Texas","SO",71.6,83.3333333333333,10.25,3,6,1,0,0,0,2
"Angel Santiago","Army","JR",71.4739726027397,52.0547945205479,104.2,146,73,1,5,2,10,10
"Andrew Maxwell","Michigan State","SR",71.3,45.4545454545455,42.3333333333333,3,33,0,0,0,0,3
"Austin Grammer","Middle Tennessee","FR",71.2623376623377,46.6666666666667,47.5714285714286,32,45,2,4,1,3,6
"Trey Fetner","South Alabama","SO",71.1428571428571,0,6.66666666666667,6,1,0,0,0,1,2
"LaMontiez Ivy","Jackson State","FR",70.9230769230769,52.9411764705882,160,9,17,2,2,0,0,1
"Tuskani Figaro","Nicholls State","SO",70.7619047619048,38.8888888888889,127.5,24,18,1,1,1,1,2
"Anthony Jennings","LSU","FR",70.4923076923077,66.6666666666667,7.66666666666667,10,3,0,1,0,1,3
"Brandon Mitchell","North Carolina State","SR",69.2629921259843,48.6842105263158,167.75,51,76,6,3,1,2,4
"Timarious Mitchell","Austin Peay","FR",69.2571428571429,66.6666666666667,14.6666666666667,5,9,0,1,0,0,2
"Reese Hannon","Furman","SO",69.2125,57.1428571428571,97,4,28,1,1,0,0,1
"Dash Duncan","Nicholls State","FR",69.1272727272727,45.4545454545455,31,0,11,0,0,0,0,1
"Grant Rohach","Iowa State","FR",68.6343195266272,53.030303030303,117.6,37,132,5,4,2,2,5
"Andrew Spivey","Austin Peay","JR",68.0307692307692,52.7272727272727,68.3333333333333,10,55,1,0,0,0,3
"Alex Zordich","Buffalo","SR",67.712,41.6666666666667,35.5,13,12,0,1,0,0,4
"Steven Bench","South Florida","SO",67.6611764705882,40.625,73.6,21,64,3,4,2,2,5
"Jackie Wilson","Bethune-Cookman","SR",67.5090909090909,50,78,12,10,0,0,0,1,1
"Josh Vander Maten","South Dakota","JR",66.972972972973,44.4444444444444,145,19,18,1,0,1,2,1
"Daniel Duhart","Alabama St.","SO",66.7571428571429,34.7826086956522,88,5,23,0,1,1,1,1
"Damian Williams","Mississippi State","FR",66.0972972972973,47.8260869565217,61.3333333333333,14,23,1,0,0,0,3
"Greyson Lambert","Virginia","FR",66.0711111111111,40,29.6,5,40,1,1,1,1,5
"Garrett Safron","Sacramento State","JR",65.9061728395062,55.7377049180328,163,20,61,4,1,0,0,2
"Omari Timmons","Norfolk State","SO",65.85,42.8571428571429,27,1,7,0,0,0,0,1
"Austin Boucher","Miami (Ohio)","SR",65.1230240549828,48.3695652173913,139,107,184,8,5,7,7,8
"Taylor Graham","Hawai'i","JR",65.0578512396694,46,71.6666666666667,21,100,5,1,2,2,5
"Jarod Neal","Tennessee-Martin","SO",64.9,41.3793103448276,76,3,29,2,0,0,0,2
"Derrius Vick","Ohio","SO",64.5862068965517,47.0588235294118,34.2857142857143,24,34,1,1,0,1,7
"Kyren Poe","Northern Arizona","SO",64.5066666666667,58.3333333333333,167,9,36,3,0,0,0,1
"Nick Schuessler","Clemson","FR",64.1333333333333,50,11,1,2,0,0,0,0,1
"Jonathan Wallace","Auburn","SO",62.5538461538462,50,14.6,9,4,0,0,0,0,3
"Bobby Eveld","South Florida","SR",61.9136,39.5833333333333,73,29,96,2,2,2,2,6
"Leon Prunty","Savannah State","FR",61.568,53.3333333333333,44,10,15,0,2,0,0,2
"Driphus Jackson","Rice","SO",61.3846153846154,33.3333333333333,30,24,15,1,1,0,1,6
"Chad Voytik","Pittsburgh","FR",61.3333333333333,50,3.33333333333333,1,2,0,0,0,0,0
"Clinton Granger","Temple","SR",61.12,37.5,19,9,16,1,1,0,1,1
"Mike Bercovici","Arizona State","SO",59.8285714285714,75,16,10,4,0,0,0,0,2
"Jeremy Higgins","Hawai'i","JR",59.7846153846154,45.4545454545455,33,2,11,0,2,0,0,1
"Damien Fleming","Florida A&M","JR",58.9111111111111,62.5,31,2,16,1,0,0,0,1
"Faton Bauta","Georgia","FR",58.8,NA,7,1,0,0,0,0,0,0
"Josh Bordner","Boston College","JR",58.4,50,2,0,2,0,0,0,0,1
"Jordan Reid","N.C. Central","SR",58.2625,50,91,10,22,0,1,0,0,1
"Benjamin Anderson","Arkansas-Pine Bluff","JR",57.9523809523809,50,135,16,26,0,2,0,0,1
"Vince Moraga","Cal Poly","JR",57.72,50,66,8,12,0,1,0,0,1
"David Washington","Old Dominion","FR",57.6,60,26,4,5,0,0,0,0,1
"Tyler Clark","Norfolk State","SO",56.975,50,49,6,10,0,0,0,0,1
"Jordan Adamczyk","Weber State","SR",56.528,47.0588235294118,73,8,17,0,0,0,0,1
"Drew Kummer","Miami (Ohio)","SO",56.4350877192983,41.1764705882353,29.5,23,34,0,2,0,1,3
"Joshua McCain","Idaho","JR",56.04,38.8888888888889,47.6666666666667,42,18,2,3,1,2,6
"Montell Cozart","Kansas","FR",55.7911111111111,36.3636363636364,73.6,46,44,0,3,0,1,5
"Adam Dingwell","San Diego State","JR",55.3052631578947,39.7058823529412,149,8,68,5,3,0,0,2
"Tim Boyle","Connecticut","FR",55.2603773584906,43.9393939393939,136.5,27,132,8,2,0,0,4
"Alex Niznak","Central Michigan","SO",55.1,48.1481481481481,64.5,9,27,2,0,0,0,2
"John Hendrick","Navy","JR",54.9285714285714,40,60,13,15,2,1,0,1,2
"Richard Cue","South Carolina State","SR",54.4173913043478,38.8888888888889,74,5,18,2,0,1,1,1
"Tony Daniel","Buffalo","SO",53.6,50,10,3,2,0,1,0,0,1
"Quentin Williams","Bethune-Cookman","JR",53.0105263157895,50,70.5,20,18,2,1,0,1,2
"Jordan Moore","Texas State","FR",52.8727272727273,50,24.25,21,12,0,2,1,1,3
"James Lawson","Wofford","JR",52.2333333333333,80,27,7,5,0,0,0,0,1
"Tyrone Swoopes","Texas","FR",52.1882352941176,57.1428571428571,19.3333333333333,10,7,0,0,0,0,3
"Trevor Sasek","Delaware","SR",51.25,28.5714285714286,25,1,7,0,0,0,0,1
"Darian Stone","Tennessee Tech","JR",50.5384615384615,42.1052631578947,85,7,19,1,0,0,0,1
"Patrick Thompson","Wake Forest","JR",50.2222222222222,66.6666666666667,10,3,6,1,0,0,0,3
"Kyle Copeland","Charleston So.","FR",50.0969696969697,53.8461538461538,98,20,13,1,2,1,1,1
"Justin Arias","Idaho State","JR",49.6259259259259,43.956043956044,97,17,91,3,3,1,1,2
"Tommy Thornton","Wyoming","FR",49.32,75,5.75,6,4,0,0,0,0,4
"Eddie Sullivan","Western Carolina","JR",49.0550724637681,41.304347826087,90.6666666666667,23,46,4,1,0,0,3
"Austin Hinder","California","JR",48.8666666666667,25,23,2,4,0,0,0,0,1
"Matt Floyd","South Florida","SO",46.7818181818182,45,63,2,20,2,0,0,0,1
"Austin Chipoletti","Weber State","FR",46.7555555555556,59.2592592592593,30,18,27,0,1,0,0,2
"Jacob Sexton","Austin Peay","SO",46.2,50,22,8,4,1,0,0,0,1
"Damarcus Smith","Western Kentucky","FR",45.6,40,25.3333333333333,9,5,1,1,0,0,3
"Beaux Hebert","Nicholls State","JR",44.225641025641,33.3333333333333,61,12,27,1,1,0,0,2
"Donovahn Jones","Minnesota","FR",43.4,NA,12.4,12,0,0,1,0,0,3
"Lucas Beatty","Gardner-Webb","JR",43.3565217391304,46.6666666666667,83,8,15,2,2,0,0,1
"Tamyn Garrick","Presbyterian","SO",42.84,60,27,5,15,3,3,1,1,1
"Ikaika Woolsey","Hawai'i","FR",42.08,37.9310344827586,30.8571428571429,26,29,3,1,0,0,5
"Jeff Lindquist","Washington","FR",42,NA,5,1,0,0,0,0,0,0
"Ammon Olsen","BYU","SO",41.8,33.3333333333333,4,1,3,0,0,0,0,1
"Austin Gearing","Miami (Ohio)","FR",40.7932203389831,57.1428571428571,45.4,97,21,1,3,0,0,10
"Andrew Hendrix","Notre Dame","SR",40.6266666666667,14.2857142857143,13.6666666666667,16,14,0,1,0,1,4
"Evan Jacks","Wofford","FR",38.4,50,42,11,6,0,1,0,0,1
"Eric Kordenbrock","Virginia Military","SR",38.2758620689655,33.3333333333333,25,2,27,0,0,0,0,1
"Zach Hutcheson","Savannah State","SO",38.0166666666667,42.1052631578947,30.5,5,19,2,0,0,0,2
"Cody Kater","Central Michigan","JR",37.6,33.3333333333333,12,2,6,0,1,0,0,1
"Dallas Lloyd","Stanford","SO",36.4,NA,4.33333333333333,6,0,0,3,0,0,1
"Jadrian Clark","Weber State","FR",33.6,0,16,2,2,0,0,0,0,1
"Nathan Peterman","Tennessee","FR",31.9862068965517,43.4782608695652,13,6,23,2,1,0,0,3
"Tyler Gabbert","UCF","JR",31.3,33.3333333333333,3,1,3,0,0,0,0,1
"Tyler Cameron","Wake Forest","FR",28.7393939393939,29.1666666666667,33.6666666666667,9,24,3,2,0,0,2
"Malcolm Bell","N.C. Central","FR",28.6333333333333,30,29,2,10,1,0,0,0,1
"DJ Juste","Florida Atlantic","FR",27.7846153846154,NA,8.6,13,0,0,0,0,0,3
"Blake Jurich","San Jose State","JR",27.5428571428571,50,6.8,8,6,1,0,0,0,5
"Kyle Boehm","California","SO",27.3,NA,13,4,0,0,0,0,0,1
"Cameron Coffman","Indiana","JR",26.25,28.5714285714286,12.5,1,7,1,0,0,0,1
"Paul Harris","Louisiana Tech","SR",26.1333333333333,0,9.33333333333333,8,1,0,2,0,0,3
"Connor Frazier","Towson","SO",25.2,NA,3,1,0,0,0,0,0,0
"Zach Conque","UTSA","FR",25.2,NA,3,1,0,0,0,0,0,0
"Jihad Vercher","Sacramento State","FR",25.0666666666667,50,6,4,2,0,1,0,0,1
"Tevin Long","Army","FR",23.1,0,11,7,1,0,1,0,0,2
"Joe Hubener","Kansas State","FR",21,NA,5,2,0,0,0,0,0,1
"Zerick Rollins, Jr.","Alcorn St.","JR",21,NA,5,2,0,0,1,0,0,1
"Nat Dunlap","Gardner-Webb","SO",19.95,40,19,3,5,1,0,0,0,1
"Ricky Fisk","Morgan State","FR",19.6,NA,3.5,3,0,0,0,0,0,1
"Ricardo Young","Maryland","JR",14.7,NA,3.5,4,0,0,0,0,0,2
"Robert Ratliff","Mississippi","SR",14.5142857142857,42.8571428571429,12,0,7,2,0,0,0,2
"Andrew Frerking","Baylor","SO",12.6,NA,3,2,0,0,0,0,0,1
"Chris Andrews","Wagner","FR",10.7636363636364,12.5,26,3,8,1,0,0,0,1
"Jonah Duggan","Western Carolina","FR",10.5,NA,5,4,0,0,0,0,0,1
"Josh Grady","Vanderbilt","SO",9.23636363636364,50,8,5,6,2,0,0,0,2
"Antonio Bostick","Savannah State","SR",8.94117647058824,27.2727272727273,30,6,11,2,0,0,0,1
"Matt Misley","Wagner","JR",8.77777777777778,36.3636363636364,-5,7,11,1,1,0,0,1
"Curt Phillips","Wisconsin","SR",8.4,0,2,2,2,0,1,0,0,1
"Victorian Hardison","Savannah State","JR",7.13333333333334,25,17,2,4,1,0,0,0,1
"Myles Carr","Fresno State","FR",3.68,0,13,4,1,1,0,0,0,2
"Jeff Manning","Utah State","FR",2.8,NA,1,3,0,0,0,0,0,1
"Tyler Matthews","TCU","FR",2.4,0,0.5,4,3,0,1,0,0,1
"Michael Weimer","Wofford","SO",0.0800000000000011,16.6666666666667,12,4,6,1,1,0,0,1
"Collin Ramirez","Portland State","SR",0,0,0,0,1,0,0,0,0,0
"Corbin Berkstresser","Missouri","SO",0,0,0,0,1,0,0,0,0,0
"Daniel Hazlewood","Northwestern State","FR",0,0,0,0,3,0,0,0,0,1
"Hunter Taylor","Stephen F. Austin","FR",0,66.6666666666667,0,1,3,1,0,0,0,1
"Kanler Coker","North Carolina","FR",0,NA,0,2,0,0,0,0,0,1
"Zack Oliver","Northwestern","SO",0,0,0,0,1,0,0,0,0,0
"Zack Wynn","Western Michigan","JR",0,0,0,0,1,0,0,0,0,0
"Ozzie Mann","Ball State","FR",-5.6,22.2222222222222,-2.66666666666667,3,9,1,1,0,0,3
"Josh Taylor","North Carolina State","FR",-11.2,0,-2,2,1,0,1,0,0,1
"A.J. Augustine","Virginia Military","SR",-12.6,0,-9,2,4,0,2,0,0,1
"Logan Hallock","Appalachian State","JR",-12.6,NA,-3,2,0,0,0,0,0,1
"Christian Stewart","BYU","JR",-14,0,-5,1,2,0,0,0,0,1
"Malik Stokes","Norfolk State","SO",-15.2666666666667,0,2,2,10,1,0,0,0,1
"Kody Akers","Navy","JR",-16.8,NA,-2,1,0,0,1,0,0,0
"Michael Brewer","Texas Tech","SO",-16.8,0,-3,1,2,0,0,0,0,1
"Carson Royal","Florida A&M","FR",-33.6,NA,-4,1,0,0,0,0,0,0
"Austin DeCoud","Idaho","FR",NA,NA,0,0,0,0,0,0,0,0
"Brock Berglund","North Texas","SO",NA,NA,0,0,0,0,0,0,0,0
"Collin Michael","Buffalo","FR",NA,NA,0,0,0,0,0,0,0,0
"Craig Leonard","Colorado State","FR",NA,NA,0,0,0,0,0,0,0,0
"Dalton Easton","Akron","FR",NA,NA,0,0,0,0,0,0,0,0
"Dustin Haines","Oregon","SR",NA,NA,0,0,0,0,0,0,0,0
"Hayden Alford","Virginia Military","FR",NA,NA,0,0,0,0,0,0,0,0
"Jake Bernards","San Diego State","SR",NA,NA,0,0,0,0,0,0,0,0
"Jonathon Weymann","East Carolina","SO",NA,NA,0,0,0,0,0,0,0,0
"Kyle Kamman","Ball State","SO",NA,NA,0,0,0,0,0,0,0,0
"Kyle Sloter","Southern Mississippi","FR",NA,NA,0,0,0,0,0,0,0,0
"Mark Iannotti","Eastern Michigan","SO",NA,NA,0,0,0,0,0,0,0,0
"Melvin German III","Florida Atlantic","SR",NA,NA,0,0,0,0,0,0,0,0
"Ryan Monaghan","Wagner","FR",NA,NA,0,0,0,0,0,0,0,0
"Stephen Curtis","Florida Atlantic","JR",NA,NA,0,0,0,0,0,0,0,0
"T.Q. Mims","Arkansas-Pine Bluff","SR",NA,NA,0,0,0,0,0,0,0,0
"Tanner McEvoy","Wisconsin","SO",NA,NA,0,0,0,0,0,0,0,0
"Trent Thompson","Tennessee Tech","FR",NA,NA,0,0,0,0,0,0,0,0
