Date,Opponent,Projection,OppFPI,Team
11/14/15,Purdue,0.852,-1.3,Northwestern
11/21/15,Wisconsin,0.348,11.8,Northwestern
11/28/15,Illinois,0.649,5.6,Northwestern
10/10/15,Navy,0.922,3.2,Notre Dame
10/17/15,USC,0.468,25.6,Notre Dame
10/31/15,Temple,0.805,6.7,Notre Dame
11/7/15,Pittsburgh,0.755,8.1,Notre Dame
11/14/15,Wake Forest,0.96,-3.9,Notre Dame
11/21/15,Boston College,0.878,2.3,Notre Dame
11/28/15,Stanford,0.386,20,Notre Dame
10/10/15,Miami (OH),0.914,-18,Ohio
10/17/15,Western Michigan,0.606,-2,Ohio
10/24/15,Buffalo,0.637,-8.6,Ohio
11/4/15,Bowling Green,0.418,-1.1,Ohio
11/10/15,Kent State,0.853,-12.8,Ohio
11/17/15,Ball State,0.648,-4.4,Ohio
11/24/15,Northern Illinois,0.458,-2.5,Ohio
10/10/15,Maryland,0.973,-5.6,Ohio State
10/17/15,Penn State,0.899,6,Ohio State
10/24/15,Rutgers,0.933,-3.3,Ohio State
11/7/15,Minnesota,0.951,1.1,Ohio State
11/14/15,Illinois,0.828,5.6,Ohio State
11/21/15,Michigan State,0.771,13.9,Ohio State
11/28/15,Michigan,0.581,15.9,Ohio State
10/10/15,Texas,0.895,4.4,Oklahoma
10/17/15,Kansas State,0.73,11.1,Oklahoma
10/24/15,Texas Tech,0.825,12.1,Oklahoma
10/31/15,Kansas,0.985,-14.9,Oklahoma
11/7/15,Iowa State,0.946,1.4,Oklahoma
11/14/15,Baylor,0.272,27,Oklahoma
11/21/15,TCU,0.522,24,Oklahoma
11/28/15,Oklahoma State,0.67,13.7,Oklahoma
10/10/15,West Virginia,0.308,16.9,Oklahoma State
10/24/15,Kansas,0.981,-14.9,Oklahoma State
10/31/15,Texas Tech,0.465,12.1,Oklahoma State
11/7/15,TCU,0.276,24,Oklahoma State
11/14/15,Iowa State,0.758,1.4,Oklahoma State
11/21/15,Baylor,0.217,27,Oklahoma State
11/28/15,Oklahoma,0.33,22.1,Oklahoma State
10/17/15,Charlotte,0.584,-18.3,Old Dominion
10/24/15,Florida Intl,0.145,-6.8,Old Dominion
10/31/15,Western Kentucky,0.054,8.5,Old Dominion
11/7/15,Texas San Antonio,0.299,-15,Old Dominion
11/14/15,UTEP,0.654,-19.3,Old Dominion
11/21/15,Southern Mississippi,0.096,-3,Old Dominion
11/28/15,Florida Atlantic,0.362,-10.2,Old Dominion
10/10/15,New Mexico State,0.995,-16.8,Ole Miss
10/17/15,Memphis,0.825,5.9,Ole Miss
10/24/15,Texas A&M,0.622,21.4,Ole Miss
10/31/15,Auburn,0.759,10.4,Ole Miss
11/7/15,Arkansas,0.791,14.4,Ole Miss
11/21/15,LSU,0.67,20.7,Ole Miss
11/28/15,Mississippi State,0.668,14.3,Ole Miss
10/10/15,Washington State,0.883,-2.1,Oregon
10/17/15,Washington,0.556,6.7,Oregon
10/29/15,Arizona State,0.452,9.8,Oregon
11/7/15,California,0.566,12.7,Oregon
11/14/15,Stanford,0.202,20,Oregon
11/21/15,USC,0.209,25.6,Oregon
11/27/15,Oregon State,0.893,-3.3,Oregon
10/10/15,Arizona,0.193,6.3,Oregon State
10/17/15,Washington State,0.382,-2.1,Oregon State
10/24/15,Colorado,0.528,-0.7,Oregon State
10/31/15,Utah,0.06,16.1,Oregon State
11/7/15,UCLA,0.118,16.5,Oregon State
11/14/15,California,0.091,12.7,Oregon State
11/21/15,Washington,0.292,6.7,Oregon State
11/27/15,Oregon,0.107,11.6,Oregon State
10/10/15,Indiana,0.709,1.7,Penn State
10/17/15,Ohio State,0.101,21.2,Penn State
10/24/15,Maryland,0.777,-5.6,Penn State
10/31/15,Illinois,0.606,5.6,Penn State
11/7/15,Northwestern,0.258,10.5,Penn State
11/21/15,Michigan,0.331,15.9,Penn State
11/28/15,Michigan State,0.214,13.9,Penn State
10/10/15,Virginia,0.794,-1.7,Pittsburgh
10/17/15,Georgia Tech,0.226,15.3,Pittsburgh
10/24/15,Syracuse,0.626,1.1,Pittsburgh
10/29/15,North Carolina,0.418,13.6,Pittsburgh
11/7/15,Notre Dame,0.245,20.6,Pittsburgh
11/14/15,Duke,0.426,7.8,Pittsburgh
11/21/15,Louisville,0.531,9.9,Pittsburgh
11/27/15,Miami (FL),0.559,9.7,Pittsburgh
10/10/15,Minnesota,0.515,1.1,Purdue
10/17/15,Wisconsin,0.127,11.8,Purdue
10/31/15,Nebraska,0.349,8,Purdue
11/7/15,Illinois,0.371,5.6,Purdue
11/14/15,Northwestern,0.148,10.5,Purdue
11/21/15,Iowa,0.155,9.9,Purdue
11/28/15,Indiana,0.487,1.7,Purdue
10/10/15,Florida Atlantic,0.374,-10.2,Rice
10/24/15,Army,0.68,-10.8,Rice
10/30/15,Louisiana Tech,0.146,7.5,Rice
11/6/15,UTEP,0.689,-19.3,Rice
11/14/15,Southern Mississippi,0.354,-3,Rice
11/21/15,Texas San Antonio,0.577,-15,Rice
11/28/15,Charlotte,0.811,-18.3,Rice
10/10/15,Michigan State,0.171,13.9,Rutgers
10/17/15,Indiana,0.272,1.7,Rutgers
10/24/15,Ohio State,0.067,21.2,Rutgers
10/31/15,Wisconsin,0.096,11.8,Rutgers
11/7/15,Michigan,0.063,15.9,Rutgers
11/14/15,Nebraska,0.282,8,Rutgers
11/21/15,Army,0.646,-10.8,Rutgers
11/28/15,Maryland,0.645,-5.6,Rutgers
10/10/15,Hawaii,0.512,-12.6,San Diego State
10/17/15,San Josí€Œ© State,0.339,-4.4,San Diego State
10/23/15,Utah State,0.395,-0.5,San Diego State
10/31/15,Colorado State,0.369,-7,San Diego State
11/14/15,Wyoming,0.882,-19,San Diego State
11/21/15,UNLV,0.46,-8.4,San Diego State
11/28/15,Nevada,0.649,-9.1,San Diego State
10/10/15,UNLV,0.535,-8.4,San Josí€Œ© State
10/17/15,San Diego State,0.661,-7,San Josí€Œ© State
10/24/15,New Mexico,0.743,-9.8,San Josí€Œ© State
11/6/15,BYU,0.268,6.9,San Josí€Œ© State
11/14/15,Nevada,0.556,-9.1,San Josí€Œ© State
11/21/15,Hawaii,0.597,-12.6,San Josí€Œ© State
11/27/15,Boise State,0.113,15.4,San Josí€Œ© State
10/8/15,Houston,0.091,5.1,SMU
10/24/15,South Florida,0.334,-7.2,SMU
10/31/15,Tulsa,0.353,-3.6,SMU
11/6/15,Temple,0.153,6.7,SMU
11/14/15,Navy,0.102,3.2,SMU
11/21/15,Tulane,0.568,-10.4,SMU
11/28/15,Memphis,0.082,5.9,SMU
10/13/15,Arkansas State,0.184,-2.8,South Alabama
10/24/15,Texas State,0.216,-11,South Alabama
11/7/15,Idaho,0.688,-18.9,South Alabama
11/12/15,Louisiana Lafayette,0.343,-9.8,South Alabama
11/21/15,Georgia State,0.431,-18,South Alabama
11/28/15,Georgia Southern,0.056,2.5,South Alabama
12/5/15,Appalachian State,0.103,2.9,South Alabama
10/10/15,LSU,0.181,20.7,South Carolina
10/17/15,Vanderbilt,0.591,3.8,South Carolina
10/31/15,Texas A&M,0.097,21.4,South Carolina
11/7/15,Tennessee,0.138,17.6,South Carolina
11/14/15,Florida,0.224,18.2,South Carolina
11/21/15,The Citadel,0.963,,South Carolina
11/28/15,Clemson,0.218,18.3,South Carolina
10/10/15,Syracuse,0.33,1.1,South Florida
10/17/15,Connecticut,0.454,-9.3,South Florida
10/24/15,SMU,0.666,-11.1,South Florida
10/31/15,Navy,0.158,3.2,South Florida
11/7/15,East Carolina,0.211,0.3,South Florida
11/14/15,Temple,0.214,6.7,South Florida
11/20/15,Cincinnati,0.293,3.3,South Florida
11/26/15,UCF,0.472,-9.1,South Florida
10/9/15,Marshall,0.355,-1.2,Southern Mississippi
10/17/15,Texas San Antonio,0.864,-15,Southern Mississippi
10/24/15,Charlotte,0.817,-18.3,Southern Mississippi
10/31/15,UTEP,0.917,-19.3,Southern Mississippi
11/14/15,Rice,0.646,-9.8,Southern Mississippi
11/21/15,Old Dominion,0.904,-18.1,Southern Mississippi
11/28/15,Louisiana Tech,0.167,7.5,Southern Mississippi
10/15/15,UCLA,0.681,16.5,Stanford
10/24/15,Washington,0.885,6.7,Stanford
10/31/15,Washington State,0.909,-2.1,Stanford
11/7/15,Colorado,0.891,-0.7,Stanford
11/14/15,Oregon,0.798,11.6,Stanford
11/21/15,California,0.766,12.7,Stanford
11/28/15,Notre Dame,0.614,20.6,Stanford
10/10/15,South Florida,0.67,-7.2,Syracuse
10/17/15,Virginia,0.501,-1.7,Syracuse
10/24/15,Pittsburgh,0.374,8.1,Syracuse
10/31/15,Florida State,0.095,16.2,Syracuse
11/7/15,Louisville,0.187,9.9,Syracuse
11/14/15,Clemson,0.154,18.3,Syracuse
11/21/15,NC State,0.169,11.2,Syracuse
11/28/15,Boston College,0.547,2.3,Syracuse
10/10/15,Kansas State,0.77,11.1,TCU
10/17/15,Iowa State,0.914,1.4,TCU
10/29/15,West Virginia,0.784,16.9,TCU
11/7/15,Oklahoma State,0.724,13.7,TCU
11/14/15,Kansas,0.994,-14.9,TCU
11/21/15,Oklahoma,0.478,22.1,TCU
11/27/15,Baylor,0.486,27,TCU
10/10/15,Tulane,0.927,-10.4,Temple
10/17/15,UCF,0.911,-9.1,Temple
10/22/15,East Carolina,0.607,0.3,Temple
10/31/15,Notre Dame,0.195,20.6,Temple
11/6/15,SMU,0.847,-11.1,Temple
11/14/15,South Florida,0.786,-7.2,Temple
11/21/15,Memphis,0.625,5.9,Temple
11/28/15,Connecticut,0.907,-9.3,Temple
10/10/15,Georgia,0.519,19.6,Tennessee
10/24/15,Alabama,0.278,23.9,Tennessee
10/31/15,Kentucky,0.761,5.4,Tennessee
11/7/15,South Carolina,0.862,5.2,Tennessee
11/14/15,North Texas,0.994,-21.4,Tennessee
11/21/15,Missouri,0.705,7.5,Tennessee
11/28/15,Vanderbilt,0.881,3.8,Tennessee
10/10/15,Oklahoma,0.105,22.1,Texas
10/24/15,Kansas State,0.427,11.1,Texas
10/31/15,Iowa State,0.489,1.4,Texas
11/7/15,Kansas,0.939,-14.9,Texas
11/14/15,West Virginia,0.122,16.9,Texas
11/26/15,Texas Tech,0.356,12.1,Texas
12/5/15,Baylor,0.045,27,Texas
10/17/15,Alabama,0.554,23.9,Texas A&M
10/24/15,Ole Miss,0.378,22.6,Texas A&M
10/31/15,South Carolina,0.903,5.2,Texas A&M
11/7/15,Auburn,0.849,10.4,Texas A&M
11/14/15,Western Carolina,0.997,,Texas A&M
11/21/15,Vanderbilt,0.853,3.8,Texas A&M
11/28/15,LSU,0.436,20.7,Texas A&M
10/10/15,Louisiana Tech,0.084,7.5,Texas San Antonio
10/17/15,Southern Mississippi,0.136,-3,Texas San Antonio
10/31/15,North Texas,0.644,-21.4,Texas San Antonio
11/7/15,Old Dominion,0.701,-18.1,Texas San Antonio
11/14/15,Charlotte,0.492,-18.3,Texas San Antonio
11/21/15,Rice,0.423,-9.8,Texas San Antonio
11/28/15,Middle Tennessee,0.125,4.3,Texas San Antonio
10/10/15,Louisiana Lafayette,0.411,-9.8,Texas State
10/24/15,South Alabama,0.784,-17.9,Texas State
10/29/15,Georgia Southern,0.107,2.5,Texas State
11/7/15,New Mexico State,0.748,-16.8,Texas State
11/14/15,Georgia State,0.781,-18,Texas State
11/19/15,Louisiana Monroe,0.563,-10.1,Texas State
11/28/15,Idaho,0.632,-18.9,Texas State
12/5/15,Arkansas State,0.2,-2.8,Texas State
10/10/15,Iowa State,0.844,1.4,Texas Tech
10/17/15,Kansas,0.949,-14.9,Texas Tech
10/24/15,Oklahoma,0.175,22.1,Texas Tech
10/31/15,Oklahoma State,0.535,13.7,Texas Tech
11/7/15,West Virginia,0.251,16.9,Texas Tech
11/14/15,Kansas State,0.606,11.1,Texas Tech
11/26/15,Texas,0.644,4.4,Texas Tech
9/3/15,Stony Brook,0.95,,Toledo
10/10/15,Kent State,0.942,-12.8,Toledo
10/17/15,Eastern Michigan,0.956,-15.4,Toledo
10/24/15,Massachusetts,0.84,-9.2,Toledo
11/3/15,Northern Illinois,0.825,-2.5,Toledo
11/10/15,Central Michigan,0.752,-4.8,Toledo
11/17/15,Bowling Green,0.682,-1.1,Toledo
11/27/15,Western Michigan,0.816,-2,Toledo
10/10/15,Mississippi State,0.02,14.3,Troy
10/17/15,Idaho,0.7,-18.9,Troy
10/24/15,New Mexico State,0.441,-16.8,Troy
10/31/15,Appalachian State,0.071,2.9,Troy
11/7/15,Louisiana Monroe,0.438,-10.1,Troy
11/14/15,Georgia Southern,0.121,2.5,Troy
11/27/15,Georgia State,0.549,-18,Troy
12/5/15,Louisiana Lafayette,0.278,-9.8,Troy
10/10/15,Temple,0.073,6.7,Tulane
10/16/15,Houston,0.168,5.1,Tulane
10/24/15,Navy,0.098,3.2,Tulane
10/31/15,Memphis,0.087,5.9,Tulane
11/7/15,Connecticut,0.574,-9.3,Tulane
11/14/15,Army,0.4,-10.8,Tulane
11/21/15,SMU,0.432,-11.1,Tulane
11/27/15,Tulsa,0.386,-3.6,Tulane
10/10/15,Louisiana Monroe,0.757,-10.1,Tulsa
10/17/15,East Carolina,0.287,0.3,Tulsa
10/23/15,Memphis,0.308,5.9,Tulsa
10/31/15,SMU,0.647,-11.1,Tulsa
11/7/15,UCF,0.748,-9.1,Tulsa
11/14/15,Cincinnati,0.228,3.3,Tulsa
11/21/15,Navy,0.402,3.2,Tulsa
11/27/15,Tulane,0.614,-10.4,Tulsa
10/10/15,Connecticut,0.607,-9.3,UCF
10/17/15,Temple,0.089,6.7,UCF
10/24/15,Houston,0.207,5.1,UCF
10/31/15,Cincinnati,0.131,3.3,UCF
11/7/15,Tulsa,0.252,-3.6,UCF
11/19/15,East Carolina,0.315,0.3,UCF
11/26/15,South Florida,0.528,-7.2,UCF
10/15/15,Stanford,0.319,20,UCLA
10/22/15,California,0.668,12.7,UCLA
10/31/15,Colorado,0.927,-0.7,UCLA
11/7/15,Oregon State,0.882,-3.3,UCLA
11/14/15,Washington State,0.936,-2.1,UCLA
11/21/15,Utah,0.419,16.1,UCLA
11/28/15,USC,0.197,25.6,UCLA
10/10/15,San Josí€Œ© State,0.465,-4.4,UNLV
10/16/15,Fresno State,0.611,-14.9,UNLV
10/31/15,Boise State,0.086,15.4,UNLV
11/7/15,Hawaii,0.758,-12.6,UNLV
11/14/15,Colorado State,0.367,-7,UNLV
11/21/15,San Diego State,0.54,-7,UNLV
11/28/15,Wyoming,0.68,-19,UNLV
10/8/15,Washington,0.938,6.7,USC
10/17/15,Notre Dame,0.532,20.6,USC
10/24/15,Utah,0.821,16.1,USC
10/31/15,California,0.765,12.7,USC
11/7/15,Arizona,0.937,6.3,USC
11/13/15,Colorado,0.943,-0.7,USC
11/21/15,Oregon,0.791,11.6,USC
11/28/15,UCLA,0.803,16.5,USC
10/10/15,California,0.72,12.7,Utah
10/17/15,Arizona State,0.757,9.8,Utah
10/24/15,USC,0.179,25.6,Utah
10/31/15,Oregon State,0.94,-3.3,Utah
11/7/15,Washington,0.682,6.7,Utah
11/14/15,Arizona,0.695,6.3,Utah
11/21/15,UCLA,0.581,16.5,Utah
11/28/15,Colorado,0.917,-0.7,Utah
10/10/15,Fresno State,0.799,-14.9,Utah State
10/16/15,Boise State,0.167,15.4,Utah State
10/23/15,San Diego State,0.605,-7,Utah State
10/30/15,Wyoming,0.931,-19,Utah State
11/7/15,New Mexico,0.653,-9.8,Utah State
11/14/15,Air Force,0.451,-1.8,Utah State
11/21/15,Nevada,0.802,-9.1,Utah State
11/28/15,BYU,0.356,6.9,Utah State
10/10/15,Florida Intl,0.118,-6.8,UTEP
10/24/15,Florida Atlantic,0.39,-10.2,UTEP
10/31/15,Southern Mississippi,0.083,-3,UTEP
11/6/15,Rice,0.311,-9.8,UTEP
11/14/15,Old Dominion,0.346,-18.1,UTEP
11/21/15,Louisiana Tech,0.047,7.5,UTEP
11/28/15,North Texas,0.471,-21.4,UTEP
10/17/15,South Carolina,0.409,5.2,Vanderbilt
10/24/15,Missouri,0.475,7.5,Vanderbilt
10/31/15,Houston,0.366,5.1,Vanderbilt
11/7/15,Florida,0.107,18.2,Vanderbilt
11/14/15,Kentucky,0.531,5.4,Vanderbilt
11/21/15,Texas A&M,0.147,21.4,Vanderbilt
11/28/15,Tennessee,0.119,17.6,Vanderbilt
10/10/15,Pittsburgh,0.206,8.1,Virginia
10/17/15,Syracuse,0.499,1.1,Virginia
10/24/15,North Carolina,0.101,13.6,Virginia
10/31/15,Georgia Tech,0.153,15.3,Virginia
11/7/15,Miami (FL),0.143,9.7,Virginia
11/14/15,Louisville,0.146,9.9,Virginia
11/21/15,Duke,0.302,7.8,Virginia
11/28/15,Virginia Tech,0.242,10.2,Virginia
10/9/15,NC State,0.549,11.2,Virginia Tech
10/17/15,Miami (FL),0.424,9.7,Virginia Tech
10/24/15,Duke,0.614,7.8,Virginia Tech
10/31/15,Boston College,0.643,2.3,Virginia Tech
11/12/15,Georgia Tech,0.278,15.3,Virginia Tech
11/21/15,North Carolina,0.486,13.6,Virginia Tech
11/28/15,Virginia,0.758,-1.7,Virginia Tech
10/10/15,Boston College,0.243,2.3,Wake Forest
10/17/15,North Carolina,0.07,13.6,Wake Forest
10/24/15,NC State,0.154,11.2,Wake Forest
10/30/15,Louisville,0.207,9.9,Wake Forest
11/14/15,Notre Dame,0.04,20.6,Wake Forest
11/21/15,Clemson,0.046,18.3,Wake Forest
11/28/15,Duke,0.248,7.8,Wake Forest
10/8/15,USC,0.062,25.6,Washington
10/17/15,Oregon,0.444,11.6,Washington
10/24/15,Stanford,0.115,20,Washington
10/31/15,Arizona,0.622,6.3,Washington
11/7/15,Utah,0.318,16.1,Washington
11/14/15,Arizona State,0.307,9.8,Washington
11/21/15,Oregon State,0.708,-3.3,Washington
11/27/15,Washington State,0.803,-2.1,Washington
10/10/15,Oregon,0.117,11.6,Washington State
10/17/15,Oregon State,0.618,-3.3,Washington State
10/24/15,Arizona,0.188,6.3,Washington State
10/31/15,Stanford,0.091,20,Washington State
11/7/15,Arizona State,0.255,9.8,Washington State
11/14/15,UCLA,0.064,16.5,Washington State
11/21/15,Colorado,0.55,-0.7,Washington State
11/27/15,Washington,0.197,6.7,Washington State
10/10/15,Oklahoma State,0.692,13.7,West Virginia
10/17/15,Baylor,0.158,27,West Virginia
10/29/15,TCU,0.216,24,West Virginia
11/7/15,Texas Tech,0.749,12.1,West Virginia
11/14/15,Texas,0.878,4.4,West Virginia
11/21/15,Kansas,0.97,-14.9,West Virginia
11/28/15,Iowa State,0.907,1.4,West Virginia
12/5/15,Kansas State,0.573,11.1,West Virginia
10/10/15,Middle Tennessee,0.694,4.3,Western Kentucky
10/15/15,North Texas,0.963,-21.4,Western Kentucky
10/24/15,LSU,0.141,20.7,Western Kentucky
10/31/15,Old Dominion,0.946,-18.1,Western Kentucky
11/7/15,Florida Atlantic,0.936,-10.2,Western Kentucky
11/21/15,Florida Intl,0.834,-6.8,Western Kentucky
11/27/15,Marshall,0.796,-1.2,Western Kentucky
10/10/15,Central Michigan,0.69,-4.8,Western Michigan
10/17/15,Ohio,0.394,-1.2,Western Michigan
10/24/15,Miami (OH),0.907,-18,Western Michigan
10/29/15,Eastern Michigan,0.789,-15.4,Western Michigan
11/5/15,Ball State,0.659,-4.4,Western Michigan
11/11/15,Bowling Green,0.547,-1.1,Western Michigan
11/18/15,Northern Illinois,0.435,-2.5,Western Michigan
11/27/15,Toledo,0.184,7.5,Western Michigan
10/10/15,Nebraska,0.528,8,Wisconsin
10/17/15,Purdue,0.873,-1.3,Wisconsin
10/24/15,Illinois,0.571,5.6,Wisconsin
10/31/15,Rutgers,0.904,-3.3,Wisconsin
11/7/15,Maryland,0.849,-5.6,Wisconsin
11/21/15,Northwestern,0.652,10.5,Wisconsin
11/28/15,Minnesota,0.726,1.1,Wisconsin
10/10/15,Air Force,0.082,-1.8,Wyoming
10/17/15,Nevada,0.309,-9.1,Wyoming
10/24/15,Boise State,0.01,15.4,Wyoming
10/30/15,Utah State,0.069,-0.5,Wyoming
11/7/15,Colorado State,0.245,-7,Wyoming
11/14/15,San Diego State,0.118,-7,Wyoming
11/28/15,UNLV,0.32,-8.4,Wyoming
